gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,ipr,description
ACROYT_G011523,1999.32470300995,-1.2986793196164,0.282931181851743,-4.59008904962942,4.43056947889382e-6,0.00211682763991593,Down,"Peptide methionine sulphoxide reductase MsrA superfamily;Selenoprotein methionine sulfoxide reductase A, helical domain;Peptide methionine sulphoxide reductase MsrA domain",peptide-methionine (S)-S-oxide reductase activity
ACROYT_G037998,79.7533241705819,-2.07495723818817,0.45155252843089,-4.59516248397165,4.32412186133187e-6,0.00211682763991593,Down,HAD-like superfamily;Thiamine Salvage Pathway TenA,TENA/THI-4/PQQC family
ACROYT_G033190,237.336542210578,-1.64955756741786,0.361523105889486,-4.56279983366294,5.04759333506511e-6,0.0022800370264946,Down,Rad4 beta-hairpin domain 2;DNA repair protein Rad4;Rad4 beta-hairpin domain 3;Rad4 beta-hairpin domain 1;Rad4/PNGase transglutaminase-like fold;Papain-like cysteine peptidase superfamily,damaged DNA binding
ACROYT_G036614,178.304738865624,-1.25703237410958,0.275690539933595,-4.55957746831778,5.12566463320492e-6,0.0022800370264946,Down,Flavinator of succinate dehydrogenase superfamily;Flavinator of succinate dehydrogenase;-,protein-FAD linkage
ACROYT_G042319,179.154124891278,-1.73613084964933,0.381492919909678,-4.55088616077168,5.34204467584918e-6,0.00229707921061515,Down,"Monothiol glutaredoxin-related;Glutaredoxin, PICOT-like;Thioredoxin-like superfamily;Glutaredoxin",glutaredoxin-related protein 5
ACROYT_G018411,74.4416470551932,-1.5739437051536,0.350065384219365,-4.49614208118133,6.9197506384788e-6,0.00287950913665731,Down,"Tetratricopeptide-like helical domain superfamily;-;Lon protease, N-terminal domain;PUA-like superfamily",LON peptidase N-terminal domain and RING finger
ACROYT_G021805,517.68258563124,-1.08415858933394,0.24210320438313301,-4.47808442724382,7.53158164671156e-6,0.0030361688513306,Down,NA,NA
ACROYT_G022662,271.098688661071,-1.05383414481072,0.238701343398292,-4.41486474188924,1.01073166008817e-5,0.00395104194398103,Down,Protein of unknown function DUF2452,identical protein binding
ACROYT_G023555,1432.54232228131,-1.15308922223609,0.26779889847562,-4.3058027079266,1.66381297044968e-5,0.00613233923394311,Down,Peroxiredoxin-like 2A/B/C,prostaglandin-F synthase activity
ACROYT_G001231,170.229235178776,-1.15579640347424,0.269445199854792,-4.28954163628491,1.79042246948631e-5,0.00635885875692885,Down,"ATPase, AAA-type, core;Peptidase M41-like;ATP-dependent Zinc Metalloprotease;P-loop containing nucleoside triphosphate hydrolase;AAA ATPase, AAA+ lid domain;-;Peptidase M41",metalloendopeptidase activity
ACROYT_G034371,780.090994560921,-1.88130500549667,0.439152251169179,-4.28394708324498,1.83606598836901e-5,0.00635885875692885,Down,NA,NA
ACROYT_G040452,391.430972247662,-1.1634489721769,0.271865751369504,-4.27949812109877,1.87315219196354e-5,0.00635885875692885,Down,NA,NA
ACROYT_G003176,7678.33680560318,-1.31870477747046,0.312907999206347,-4.21435303928055,2.50495196344535e-5,0.00828561034062693,Down,"Regulatory factor, effector binding domain superfamily;SOUL heme-binding protein",SOUL heme-binding protein
ACROYT_G006033,417.237698857428,1.02922735135524,0.244601262437162,4.20777612143211,2.57896180246372e-5,0.00831715181294551,Up,"Immunoglobulin-like domain superfamily;Receptor Tyrosine Kinase;Protein kinase-like domain superfamily;Serine-threonine/tyrosine-protein kinase, catalytic domain",fibroblast growth factor-activated receptor activity
ACROYT_G041044,116.839744490144,3.32610513376612,0.798886988239642,4.16342384183179,3.13510626718151e-5,0.00986411484064425,Up,"Spermadhesin, CUB domain superfamily;CUB domain;Fibronectin type III superfamily;Fibronectin type III;SRCR-like domain superfamily;von Willebrand factor, type D domain;SRCR domain;Growth factor receptor cysteine-rich domain superfamily;-;Epithelial Barrier and Cell Signaling Protein;NIDO domain;Mucin-4-like, C8-3 domain",scavenger receptor activity
ACROYT_G029652,31.7959830230959,-2.91878855734978,0.717842320128531,-4.06605806805478,4.78150266664916e-5,0.0140184964544941,Down,NA,-
ACROYT_G004649,193.451912044179,-1.25519082458819,0.317802218091221,-3.94959743241285,7.82827412314599e-5,0.0214861140826773,Down,"Heme A synthase, type 2;COX15/CtaA family",Cytochrome c oxidase assembly homolog 15 (yeast)
ACROYT_G017161,53.4800253625794,2.81193172561248,0.711745126898831,3.95075655503881,7.79045370380396e-5,0.0214861140826773,Up,NA,NA
ACROYT_G027816,67.876548935888,-1.16970948067694,0.296084982942884,-3.9505869870563,7.79597564272672e-5,0.0214861140826773,Down,Methyltransferase type 11;S-adenosyl-L-methionine-dependent methyltransferase superfamily,Methyltransferase domain
ACROYT_G001097,294.8422435953,-4.40018996660363,1.12029935559633,-3.92769124129456,8.5765217424601e-5,0.0230494021828615,Down,NA,NA
ACROYT_G001549,86.8403118809442,3.12428198917548,0.797494078996862,3.91762405697782,8.94260266424595e-5,0.0235427702793414,Up,NA,NA
ACROYT_G003536,184.381221208069,2.01273606062805,0.515909530844725,3.90133529290009,9.56635407124714e-5,0.0243824232525659,Up,Iodothyronine deiodinase,Iodothyronine deiodinase
ACROYT_G009718,127.956199140702,-1.0514871145145,0.271210899749385,-3.87700905636953,1.0574842346131e-4,0.0261973385256378,Down,"Zinc finger, RING-type;-;Lon protease, N-terminal domain;Tetratricopeptide-like helical domain superfamily;PUA-like superfamily",LON peptidase N-terminal domain and RING finger
ACROYT_G016799,88.1756598602289,-1.18652000950181,0.306379881666862,-3.87270862253273,1.0763247611308e-4,0.0261973385256378,Down,"WD repeat-containing DNA damage-binding protein;EIPR1-like, beta-propeller;WD40-repeat-containing domain superfamily","WD domain, G-beta repeat"
ACROYT_G019553,110.121127318441,-1.09023877807365,0.282802076787363,-3.85513002754006,1.1566813470559e-4,0.0276318321796691,Down,"GH3, C-terminal domain;-;GH3, middle domain;GH3 family",GH3 domain-containing protein
ACROYT_G017160,44.2408479823549,2.96840399827313,0.772712672084769,3.8415365834035202,1.2226650873651e-4,0.0276708414508943,Up,NA,NA
ACROYT_G018038,46.6983815002845,-1.93449265899395,0.503297163414552,-3.84363910551303,1.2122323518094e-4,0.0276708414508943,Down,PAR basic leucine zipper protein;Basic-leucine zipper domain superfamily;Basic-leucine zipper domain,DNA-binding transcription factor activity
ACROYT_G007640,37.6885909483052,-2.85611945452958,0.746954282523109,-3.82368710020913,1.3147074120792e-4,0.0288311229977339,Down,NA,Im 7138239
ACROYT_G044430,44.1233793820589,-2.15910979050255,0.565388457011902,-3.81880769535608,1.3409824650108e-4,0.0288311229977339,Down,Protein of unknown function DUF3429,Protein of unknown function (DUF3429)
ACROYT_G024293,124.756721450858,1.16077164809679,0.308246166745835,3.76572938554627,1.6606358137244e-4,0.0340034952334063,Up,Snail/Krueppel C2H2-type Zinc-finger;Zinc finger C2H2 superfamily,Metal ion binding
ACROYT_G040924,44.3924586475286,4.35308793711397,1.15488644331956,3.76927789073498,1.6372052678287e-4,0.0340034952334063,Up,MAM domain;Concanavalin A-like lectin/glucanase domain superfamily;-;MAM domain-containing protein,metalloendopeptidase activity
ACROYT_G018076,396.872080807919,1.7789172874203,0.473961900602178,3.75329174172049,1.7452753509722e-4,0.0351782062930341,Up,"Immunoglobulin-like domain superfamily;Serine-threonine/tyrosine-protein kinase, catalytic domain;Protein kinase-like domain superfamily;Receptor Tyrosine Kinase",Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1 PDGF receptor subfamily
ACROYT_G006590,245.702295372661,-1.2289708846933,0.328327521325933,-3.74312479115417,1.8174590997896e-4,0.0360695729035177,Down,TspO/MBR-related protein,TspO/MBR family
ACROYT_G010956,120.285055535791,-1.06735472066316,0.292240242459145,-3.65231944677289,2.5988231373907e-4,0.0485866934381746,Down,"Helicase, C-terminal domain-like;SNF2, N-terminal;P-loop containing nucleoside triphosphate hydrolase;SNF2/RAD5-like, C-terminal helicase domain;-",pericentric heterochromatin assembly
ACROYT_G039401,294.4449088011,1.26836923592206,0.347740543033182,3.64745860479382,2.6484696361342e-4,0.0487160926986555,Up,"Spondin/Thrombospondin type-1 domain-containing;Spondin, N-terminal",serine-type endopeptidase inhibitor activity
ACROYT_G017922,152.77486118287,-1.45203878677277,0.398892242594541,-3.6401780524188,2.7244957484289e-4,0.0488138821593516,Down,NUDIX hydrolase domain;Nudix hydrolase 6-like;NUDIX hydrolase-like domain superfamily;Pre-nudix hydrolase domain;-,hydrolase activity
ACROYT_G021035,92.9747811718892,3.12957656446484,0.861766476878464,3.63158308942459,2.8168793233216e-4,0.0497777305080129,Up,"Polyketide synthase-like, ketoreductase domain;NAD(P)-binding domain superfamily;Polyketide synthase, C-terminal extension;Thiolase-like;Alpha/Beta hydrolase fold;Thioesterase;Beta-ketoacyl synthase, C-terminal;Beta-ketoacyl synthase-like, N-terminal;Acyl transferase domain;Acyl transferase/acyl hydrolase/lysophospholipase;Polyketide and Nonribosomal Peptide Biosynthesis Enzymes;-;Polyketide synthase, dehydratase domain, N-terminal;Polyketide synthase, dehydratase domain, C-terminal",3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
